stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,17,1554,gbdt,192,4,0.009970442021254333,99,0.7566640728747251,1,0.9996265449986173,3.5548440475408676e-05,9.53536579435862,2.597575790145354e-08,0.877267511452972,0.1366559904503671,0.501840490797546,0.04981953128971583,0.7652980875163519
lightgbm,18,1578,gbdt,181,4,0.009544050641988818,185,0.7705386664376376,1,0.9923751226620423,5.524927772060776e-07,4.40227328007946,2.7142378738035016e-06,0.8775038376695413,0.13526889229486838,0.496319018404908,0.04994026739870876,0.7650782827165995
lightgbm,19,813,gbdt,193,-1,0.00923949990494912,93,0.709360796174,1,0.8391698935696317,8.091215863174698e-05,0.18281207893660145,9.371273806134548e-08,0.874013351690524,0.1301744031869682,0.4815950920245399,0.049825885821768084,0.6113452529247482
lightgbm,20,735,gbdt,136,12,0.011838485993051002,117,0.7840087987253916,1,0.7590602526122234,1.1747133953991082e-05,6.789187154227699,4.96183331636001e-06,0.8720025360430615,0.12913685465168917,0.48957055214723927,0.0499339128666565,0.6620804159371143
lightgbm,21,2040,gbdt,185,4,0.008882127795317142,183,0.7706014709671916,1,0.9929642346860443,6.699238463202495e-07,1.2652634862329686,1.9141472276369712e-06,0.8779999979727875,0.1352956731635498,0.5,0.04934294138579635,0.7665766811475015
lightgbm,22,2345,gbdt,193,4,0.007308166007982095,189,0.6996753265434389,1,0.9282668973484431,5.186782213841768e-07,1.192621925421234,1.5269022775425214e-07,0.8778381601267226,0.1352864557626543,0.4950920245398773,0.04954628641146866,0.7679766534878792
lightgbm,23,1507,gbdt,170,4,0.010941294331501027,252,0.8099441555367625,1,0.998959503987177,1.1083033230706711e-08,0.02248427168403154,7.4546521024579315e-06,0.8775245269343274,0.1349887548046168,0.49754601226993866,0.04971785877687967,0.7662592536900519
lightgbm,24,1234,gbdt,140,6,0.0068875392878616735,127,0.7487599376651333,1,0.95527824237554,4.160555465220369e-05,0.6491787142219954,7.969513374050126e-07,0.8735239045800349,0.13089928307452375,0.4803680981595092,0.04988307661023842,0.7339528084874323
lightgbm,25,595,gbdt,204,4,0.027779788399005162,181,0.6679293827939699,1,0.9147084289327216,1.1112807035040835e-06,7.944233682054247,1.0240122476329486e-08,0.876947940866518,0.13398327088586015,0.49693251533742333,0.0499339128666565,0.7740765810836253
lightgbm,26,1044,gbdt,93,4,0.018370010319177028,104,0.8782947246006407,1,0.9564189450457334,4.216943923365881e-06,1.2817299840997654,0.00036711121492721707,0.8773534340826847,0.13536117925036598,0.49754601226993866,0.04992120380255198,0.7669319693631174
lightgbm,27,532,gbdt,153,4,0.03581910671802651,164,0.7944317813311633,1,0.9969081205956621,0.00040963260691123876,0.06262408675499763,4.9118411931906925e-08,0.8748484229688811,0.1321087562323238,0.48895705521472393,0.0495399318794164,0.7756745104876182
lightgbm,28,2468,gbdt,179,4,0.007076363696431113,260,0.9564139768352102,1,0.8421013087687321,9.266432445770861e-08,1.376225763764961,3.451145279231258e-07,0.8770151039819758,0.13515057787645923,0.4950920245398773,0.049838594885872604,0.7648351713532551
lightgbm,29,571,gbdt,250,12,0.012163705892041925,82,0.7545710318020187,1,0.6055710035753487,2.9799137673546043e-05,0.19448893627332411,1.2432711675334253e-06,0.868498226032966,0.1237171609870377,0.4766871165644172,0.04998474912307458,0.5970164179442325
lightgbm,30,214,gbdt,128,-1,0.054783091640337,126,0.7406483652035127,1,0.9029221853387216,3.2409747302397522e-06,0.01145735983393211,1.6496118186553283e-05,0.8571892758577995,0.11418107544247502,0.456441717791411,0.04971150424482741,0.6692874021358706
lightgbm,31,1507,gbdt,169,4,0.01074280394143125,281,0.8106641299758391,1,0.9993134344664013,1.766113825041352e-08,0.035654590711937606,6.036696652077682e-06,0.8775919668422856,0.13573289958529414,0.5012269938650307,0.04975598596919323,0.7659265834187661
lightgbm,32,2191,gbdt,218,4,0.008249610302102068,337,0.8782826062210775,1,0.9663950728934346,1.3988079666240676e-08,0.429666903873847,0.00019818739377130645,0.8772362416973946,0.1361896642460744,0.4950920245398773,0.04995933099486554,0.7661653982868736
lightgbm,33,1099,gbdt,198,4,0.016245731464015672,277,0.8248385322729421,1,0.9335761309274959,1.2346200314108052e-07,9.842895801712327,2.5294904923450244e-06,0.8772589581748599,0.13467795524434653,0.498159509202454,0.049578059071729956,0.7683521619725605
lightgbm,34,567,gbdt,236,6,0.017043297269997745,284,0.8320694566965237,1,0.9391753023784043,2.3323858275404936e-07,0.07313315169012544,6.046082238466639e-05,0.8735947166783153,0.130145170437626,0.48282208588957054,0.04994026739870876,0.7388299436804314
lightgbm,35,1169,gbdt,199,4,0.013884794593134471,276,0.7740593367430681,1,0.8664493435940808,4.143930764115214e-08,0.0009638335806345902,1.0305888460908568e-05,0.877405057833259,0.1361621243506856,0.49570552147239266,0.04971785877687967,0.7672829366178057
lightgbm,36,374,gbdt,178,12,0.020684189057777098,222,0.8295006470776717,1,0.9713982963824938,2.4544718391850476e-07,2.1212165930401494,0.0006856616093895656,0.8672734698988546,0.12266518276086527,0.47484662576687114,0.04967337705251385,0.6329604148208108
lightgbm,37,1564,gbdt,186,4,0.012905374555965807,383,0.6830829340411271,1,0.6386342885448144,3.0306698327365606e-08,0.39153303181515564,4.6349099890966256e-07,0.8775103754304318,0.13456863993641618,0.48957055214723927,0.04980682222561131,0.7703721219652374
lightgbm,38,1185,gbdt,229,4,0.015056292448456585,308,0.7310042906916802,1,0.9738870112665379,1.3243249829914995e-06,0.026949573446875274,3.2775127247292204e-06,0.8772920212339612,0.136529829279518,0.49938650306748467,0.04983224035382035,0.7679646936562202
lightgbm,39,759,gbdt,231,10,0.005994681702729146,319,0.6514288280341656,1,0.9717762740817891,9.127021017255893e-07,0.0021502681553468316,5.287642985224234e-05,0.8683186305835284,0.12757965750982372,0.4736196319018405,0.04985765848202938,0.6458024771104819
lightgbm,40,1591,gbdt,255,4,0.010090592896422659,344,0.730989398481941,1,0.9482283868238961,2.9658528132945338e-06,7.42431858992033e-05,4.8343797658013036e-08,0.8780309675449487,0.13611224525009014,0.5,0.04933658685374409,0.7680144851026999
lightgbm,41,1553,gbdt,250,4,0.01039425361306914,347,0.7326383578131441,1,0.9489545429605094,3.093254368015359,6.512242760475302e-05,7.143591071801901e-08,0.8778099272916782,0.13595696346455005,0.498159509202454,0.04999110365512684,0.7664401112319768
